Alsatian	POS	French	German	BabelNetId	Cosine
Dàj [OLCA67;OLCA68;WKT] ; Doej [WKT] ; Dàà [OLCA67;WKT] ; Dàg [OLCA68;WKT] ; Doe [WKT] ; Tag [WKT] ; Tààg [ACPA]	N	journée;jours;jour	Tage;Tag	bn:00000086n	1.00
Maidel [WKT] ; Maîdela [WKT] ; Maidele [WKT] ; Maidle [WKT] ; Maidla [ACPA] ; Maidala [ACPA]	N	fillette;jeune fille;fille;filles	Mädel	bn:00048178n	0.89
Schüel [OLCA67;OLCA68;WKT] ; Schüala [ACPA] ; Schöl [ACPA]	N	école	Schulen;Schule	bn:00069619n	0.87
Hüahn [ACPA] ; Höhn [WKT] ; Hihner [WKT] ; Hehner [WKT] ; Hüehn [OLCA67;OLCA68;WKT] ; Hiehner [WKT] ; Huhn [WKT]	N	poules;poule	Henne	bn:04735519n	0.82
Kleider [WKT] ; Klaid [ACPA] ; Kleid [WKT]	N	habit;vêtements;vêtement;costume	Kleider;Kleiden	bn:00079878n	0.58
Höt [ACPA] ; Hüat [ACPA] ; Hiet [WKT] ; Hüet [WKT]	N	chapeau;chapeaux	Hut	bn:00017718n	1.00
Kirich [OLCA67;OLCA68;WKT] ; Kercha [ACPA] ; Kerecha [WKT] ; Kerch [ACPA] ; Kirche [WKT] ; Kerisch [ACPA]	N	église	Kirche	bn:00018819n	1.00
Gaarscht [WKT] ; Gerscht [OLCA67] ; Gëërscht [WKT] ; Garscht [OLCA67;OLCA68] ; Gëërschta [WKT] ; Garschta [ACPA;OLCA68] ; Gerschte [OLCA67]	N	orge	Gerste	bn:00008606n	1.00
Bàuim [ACPA] ; Baam [ACPA;OLCA67] ; Baum [WKT] ; Baim [OLCA67;OLCA68;WKT] ; Boïm [OLCA68;WKT] ; Bàim [WKT]	N	arbre;arbres	Bäume;Baum	bn:00078131n	1.00
Nëwwel [WKT] ; Nawwel [OLCA68;WKT] ; Näwwel [ACPA] ; Nawel [ACPA;WKT] ; Newwel [OLCA67]	N	brouillard;brume	Nebel	bn:00055345n	1.00
Kröij [ACPA] ; Krüej [OLCA67;OLCA68] ; Krüj [OLCA68] ; Krüag [ACPA] ; Krög [ACPA]	N	broc;carafe;cruche	Krug	bn:00032067n	0.89
Eicha [OLCA68] ; Aicha [ACPA] ; Eisch [ACPA] ; Eïcha [WKT] ; Eich [OLCA67]	N	chêne	Eichen;Eiche	bn:00058399n	1.00
Supp [WKT] ; Suppe [WKT] ; Suppa [ACPA] ; Sùpp [OLCA68] ; Sùppe [OLCA67;OLCA68]	N	soupe;potage;soupes	Suppen;Suppe	bn:00072921n	1.00
Fëld [WKT] ; Feld [ACPA;OLCA67] ; Fald [ACPA;OLCA67;OLCA68;WKT]	N	champ;champ agricole;champs	Feld;Felder	bn:03137422n	0.63
Bàreble [OLCA67] ; Bãrãbli [WKT] ; Bàràbli [OLCA68;WKT] ; Bàrabli [ACPA]	N	parapluies;parapluie;pépin	Paraplü;Paraplui;Parapluie	bn:00078920n	0.77
Mènsch [WKT] ; Mensch [OLCA67;OLCA68] ; Mansch [ACPA;WKT] ; Mänsch [ACPA]	N	homme;humain;être humain	Mensch	bn:00044576n	1.00
Johreszite [OLCA68] ; Johreszit [OLCA68;WKT] ; Johrszit [WKT] ; Johreszitt [ACPA] ; Johrszite [OLCA67;OLCA68]	N	saisons;saison	Jahreszeiten;Jahreszeit	bn:00070057n	0.89
Elleböje [OLCA67;OLCA68;WKT] ; Elleboge [OLCA68;WKT] ; Ällabooga [ACPA] ; Elleboje [ACPA]	N	coude	Ellbogen	bn:00030099n	1.00
Blatter [OLCA67] ; Bletter [OLCA68] ; Blàtt [OLCA67;OLCA68;WKT] ; Blätter [WKT] ; Blätt [ACPA;OLCA68]	N	feuille;feuillage;feuilles	Blatt;Blätter	bn:00035596n	0.85
Schüffel [OLCA67;OLCA68] ; Schüfla [ACPA] ; Schüfle [WKT]	N	pelle	Schaufel	bn:00071309n	1.00
Wildsöi [WKT] ; Weldsoi [ACPA] ; Wìldsöj [OLCA67] ; Wildsoï [OLCA68] ; Wildsöj [OLCA67] ; Wìldsàui [OLCA68]	N	sanglier;laie	Wildsau	bn:00011635n	0.87
Küh [OLCA67;OLCA68;WKT] ; Keej [WKT] ; Küa [WKT] ; Kiaï [WKT] ; Küeh [OLCA68] ; Küai [WKT] ; Küah [ACPA]	N	vaches;vache	Kuh	bn:00023381n	0.82
Omaisa [ACPA] ; Àmeise [OLCA67;WKT] ; Õmeisa [WKT] ; Àmeis [OLCA67;OLCA68;WKT] ; Ameise [ACPA] ; Omeisa [OLCA68]	N	fourmis;fourmi	Ameise;Ameisen;Emse	bn:00004458n	1.00
Mandig [OLCA68;WKT] ; Mondàj [OLCA67] ; Mantig [ACPA] ; Mandi [WKT] ; Mondàà [OLCA67;WKT]	N	lundi	Montag	bn:00055609n	1.00
Blüama [ACPA] ; Blüem [OLCA67;OLCA68] ; Blüeme [OLCA67;OLCA68;WKT] ; Blööme [WKT] ; Blüema [OLCA68] ; Blöm [ACPA]	N	fleur;fleurs	Blume;Blumen	bn:00035378n	0.82
Näsa [WKT] ; Nàsa [ACPA] ; Nàse [WKT] ; Nàs [OLCA67;OLCA68;WKT]	N	nez	Nase	bn:00058117n	1.00
Làuib [ACPA] ; Laub [OLCA68]	N	feuillage	Laub	bn:00035596n	0.53
ase [WKT] ; esse [OLCA67;OLCA68] ; assa [ACPA] ; ësse [WKT] ; àssa [WKT] ; äse [WKT] ; asse [OLCA67;OLCA68;WKT]	V	manger	essen	bn:00087461v	1.00
Geburtsdàg [WKT] ; Geburtsdàij [ACPA] ; Geburtsdoej [WKT] ; Geburtstàg [ACPA] ; Geburtsdàj [WKT] ; Geburtstag [WKT] ; Geburtsdàà [WKT]	N	anniversaire	Geburtstag	bn:00010678n	1.00
Wàhl [ACPA] ; Wähler [ACPA;WKT] ; Wàhle [OLCA67;OLCA68]	N	élection;scrutin;électeur;élections;vote	Wähler;Wahl;Wahlen	bn:00030113n	0.63
Hieser [OLCA67;OLCA68;WKT] ; Hiser [WKT] ; Hüss [ACPA;OLCA67;OLCA68] ; Hüs [OLCA67;OLCA68;WKT] ; Hiiser [WKT]	N	maison;maisons	House;Häuser;Haus	bn:00044994n	0.80
